PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,PERSON_ID,POSITION,HEIGHT,WEIGHT,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,OFF_PRBALLHANDLER_FREQ,OFF_PRROLLMAN_FREQ,OFF_POSTUP_FREQ,OFF_SPOTUP_FREQ,OFF_OFFSCREEN_FREQ,OFF_CUT_FREQ,DEF_PRBALLHANDLER_FREQ,DEF_PRROLLMAN_FREQ,DEF_POSTUP_FREQ,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
Jonquel Jones,1627673,22026,29.0,4.25,9.75,1.5833333333333333,4.166666666666667,3.25,3.8333333333333335,2.1666666666666665,7.416666666666667,9.583333333333334,2.9166666666666665,0.5833333333333334,1.25,2.1666666666666665,3.25,13.333333333333334,0.4358974358974359,0.8478260869565217,0.3799999999999999,1627673,C,6-6,215,4.583333333333333,0.4727272727272727,0.1666666666666666,0.5,1.0,0.5,4.0,0.375,13.435897435897436,28.0,0.2941176470588235,12.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,16.551724137931036,3.6206896551724137,2.689655172413793,9.206896551724139,0.7241379310344829,1.5517241379310345,2.689655172413793,5.689655172413793,0.20689655172413784,1.2413793103448276,4.9655172413793105,1
Jordan Harrison,1643527,22026,11.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,0.3333333333333333,0.0,0.0,1643527,G,5-6,132,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,13.090909090909092,13.090909090909092,0.0,0.0,0.0,0.0,6.545454545454546,19.636363636363637,0.0,0.0,0.0,5
Jordan Horston,1641651,22026,19.933333333333334,1.8,5.533333333333333,0.3333333333333333,1.9333333333333331,0.6666666666666666,0.8,0.8,3.2,4.0,1.6,1.2,0.7333333333333333,1.4,1.5333333333333334,4.6,0.3253012048192771,0.8333333333333333,0.1724137931034482,1641651,F,6-2,165,3.4285714285714284,0.4166666666666667,0.6428571428571429,0.2222222222222222,0.4285714285714285,0.3333333333333333,1.4285714285714286,0.15,12.373493975903614,28.0,0.375,14.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,8.307692307692307,2.8896321070234112,1.4448160535117056,5.7792642140468224,2.1672240802675584,1.3244147157190633,2.5284280936454846,6.192068800764452,1.161012900143335,0.7740086000955564,2.580028666985189,0
Jordin Canada,1628886,22026,30.25,3.9166666666666665,8.333333333333334,0.8333333333333334,2.6666666666666665,2.4166666666666665,3.083333333333333,0.4166666666666667,3.0,3.4166666666666665,6.666666666666667,1.9166666666666667,0.0833333333333333,2.333333333333333,2.5,11.083333333333334,0.47,0.7837837837837837,0.3125,1628886,G,5-6,135,5.333333333333333,0.5625,0.1666666666666666,0.0,0.3333333333333333,0.25,2.333333333333333,0.3571428571428571,11.16,52.0,0.7142857142857143,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,13.1900826446281,7.933884297520661,0.49586776859504134,3.5702479338842976,2.28099173553719,0.09917355371900823,2.776859504132231,6.347107438016529,0.19834710743801645,0.39669421487603307,2.776859504132231,4
Jovana Nogic,1643505,22026,20.357142857142858,3.142857142857143,7.714285714285714,2.0,4.857142857142857,2.4285714285714284,2.7142857142857144,0.5,0.6428571428571429,1.1428571428571428,1.7857142857142858,0.6428571428571429,0.0,1.5,2.4285714285714284,10.714285714285714,0.4074074074074074,0.894736842105263,0.411764705882353,1643505,G,6-0,0,2.071428571428572,0.3793103448275862,0.2857142857142857,0.25,0.7857142857142857,0.4545454545454545,4.5,0.4285714285714285,18.37037037037037,45.0,0.3636363636363636,14.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,18.94736842105263,3.1578947368421053,0.8842105263157894,1.1368421052631579,1.1368421052631579,0.0,2.6526315789473682,3.6631578947368433,0.5052631578947367,1.3894736842105262,7.957894736842105,3
Joyner Holmes,1630115,22026,15.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,0.25,0.0,0.0,1630115,F,6-3,210,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,8.5,24.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.8,2.4,2.4,9.6,0.0,7.199999999999999,4.8,7.199999999999999,0.0,0.0,2.4,6
Julie Allemand,1627700,22026,26.0,2.125,4.125,0.5,2.0,0.5,0.5,0.125,2.625,2.75,3.5,1.875,0.25,1.625,1.625,5.25,0.5151515151515151,1.0,0.25,1627700,G,5-10,152,1.625,0.9230769230769232,0.25,0.0,0.5,0.25,1.75,0.2857142857142857,15.030303030303031,29.0,0.25,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,7.269230769230769,4.846153846153846,0.17307692307692307,3.6346153846153846,2.5961538461538463,0.34615384615384615,2.25,2.25,0.34615384615384615,0.6923076923076923,2.423076923076923,0
Julie Vanloo,1642210,22026,16.2,1.8,3.4,1.4,2.8,0.8,0.8,0.2,1.8,2.0,5.4,0.4,0.0,2.4,2.2,5.8,0.5294117647058824,1.0,0.5,1642210,G,5-8,0,0.4,1.0,0.0,0.0,0.2,0.0,2.8,0.5,21.352941176470587,26.0,0.5,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,12.88888888888889,12.000000000000002,0.4444444444444445,4.0,0.888888888888889,0.0,5.333333333333333,0.888888888888889,0.0,0.4444444444444445,6.222222222222222,3
Kahleah Copper,1627674,22026,32.61538461538461,5.153846153846154,15.692307692307692,1.3076923076923077,6.0,5.461538461538462,6.615384615384615,0.3076923076923077,2.5384615384615383,2.8461538461538463,1.9230769230769231,0.7692307692307693,0.0769230769230769,2.6923076923076925,2.0,17.076923076923077,0.3284313725490196,0.8255813953488372,0.2179487179487179,1627674,G-F,6-1,165,7.384615384615385,0.4375,0.9230769230769232,0.1666666666666666,2.3076923076923075,0.2666666666666666,5.076923076923077,0.2272727272727272,13.764705882352942,28.0,0.3225806451612903,13.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,18.849056603773587,2.1226415094339623,0.339622641509434,2.80188679245283,0.849056603773585,0.08490566037735847,2.9716981132075477,8.150943396226417,1.018867924528302,2.547169811320755,5.60377358490566,7
Kaila Charles,1630097,22026,19.307692307692307,2.076923076923077,5.6923076923076925,0.6923076923076923,2.6153846153846154,0.6923076923076923,0.9230769230769232,1.7692307692307692,3.1538461538461537,4.923076923076923,1.0,0.5384615384615384,0.3076923076923077,1.0769230769230769,2.6153846153846154,5.538461538461538,0.3648648648648648,0.7499999999999999,0.2647058823529412,1630097,G-F,6-1,168,2.8461538461538463,0.4864864864864865,0.5384615384615384,0.1428571428571428,0.2307692307692307,0.0,2.0,0.3076923076923077,14.027027027027026,47.0,0.3333333333333333,13.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.326693227091633,1.8645418326693228,3.298804780876494,5.8804780876494025,1.00398406374502,0.5737051792828686,2.00796812749004,5.3067729083665345,1.00398406374502,0.4302788844621513,3.7290836653386457,7
